         210351 function calls (209058 primitive calls) in 557.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      101    0.001    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:480(<genexpr>)
       22    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\accessor.py:178(__get__)
       20    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\numeric.py:289(full)
      300    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:222(unregister)
        6    0.001    0.000    0.152    0.025 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:1098(take)
      100    0.001    0.000    0.236    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:1670(_check_sample_weight)
      100    0.001    0.000    1.998    0.020 <__array_function__ internals>:177(bincount)
        2    0.001    0.001    0.003    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:501(effective_n_jobs)
        7    0.001    0.000    0.001    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\re.py:289(_compile)
     1240    0.001    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\abc.py:121(__subclasscheck__)
      300    0.001    0.000    0.005    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\fixes.py:110(__init__)
        1    0.001    0.001    0.002    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\_regression.py:615(_assemble_r2_explained_variance)
        8    0.001    0.000    0.304    0.038 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\array_algos\take.py:120(_take_nd_ndarray)
       11    0.001    0.000    0.001    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      414    0.001    0.000    0.001    0.000 {built-in method numpy.seterrobj}
      903    0.001    0.000    0.002    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\threading.py:256(__enter__)
